Price,Close,High,Low,Open,Volume
Ticker,AXP,AXP,AXP,AXP,AXP
Date,,,,,
2000-01-03,32.4873046875,33.985131267938044,32.229059284212525,33.985131267938044,6471267
2000-01-04,31.260648727416992,32.20324497145604,30.80871780030626,32.08703369857449,10440877
2000-01-05,30.46663475036621,31.68219472047627,30.46663475036621,31.13907356200013,8646293
2000-01-06,31.08736801147461,31.52704131831842,30.104573151440047,30.104573151440047,10990975
2000-01-07,31.539953231811523,31.759788401758797,30.725268681929634,31.1908030968856,6016452
2000-01-10,31.979631423950195,32.39344049555378,31.423576667492515,31.65634528470636,4906318
2000-01-11,32.27705764770508,33.10467582836765,31.811523097373637,31.940838099956537,7158460
2000-01-12,32.10893630981445,32.87189259238101,31.746852840392886,32.264112620854725,5816977
2000-01-13,32.27705764770508,32.742592198036526,31.91497672253896,32.3805112728704,5831029
2000-01-14,33.00121307373047,33.3374325284671,32.626201563598926,32.67792700928973,6290643
2000-01-18,31.358905792236328,32.69084990345463,31.345972405022753,32.69084990345463,5867703
2000-01-19,30.8158016204834,32.018431562247265,30.777006844442756,31.759801525419885,6608706
2000-01-20,31.326601028442383,31.992574960594517,30.699421878125907,31.087366991316767,11311093
2000-01-21,31.384790420532227,31.811530296141097,31.229614005416213,31.65635388102508,6310865
2000-01-24,31.449443817138672,32.69086844789897,31.164949714510115,31.914978391819428,10029933
2000-01-25,32.76845932006836,32.84604886984794,31.37185553953158,31.37185553953158,10150577
2000-01-26,33.05297088623047,33.94524576948786,33.00124268895467,33.10469637833959,13196847
2000-01-27,33.71245193481445,33.98401530054403,33.11760245486447,33.31157628752845,6235462
2000-01-28,32.74259567260742,33.570213941094984,32.63914474162912,33.337445288645874,7210556
2000-01-31,34.087467193603516,34.294371719373515,32.44516438010491,32.483959147759585,7406946
2000-02-01,34.96683120727539,35.07028217809637,33.89351588805079,34.048692344282266,9279676
2000-02-02,33.97109603881836,34.86336785367377,33.85471170007678,34.86336785367377,8956815
2000-02-03,33.69950866699219,34.2426324905277,33.23397434755656,34.035728047982566,7454930
2000-02-04,33.40211486816406,33.85471892305727,33.23400502250369,33.699539771627336,5155147
2000-02-07,33.60901641845703,33.90644129463513,33.29866084923472,33.40211180392019,4470696
